Date,Price,Open,High,Low,Vol.,Change %
26-Apr-17,51.82,51.81,52.46,51.38,206.56K,-0.54
25-Apr-17,52.1,51.6,52.39,51.3,272.76K,0.97
24-Apr-17,51.6,52.11,52.57,51.42,267.28K,-0.69
21-Apr-17,51.96,53,53.29,51.57,348.48K,-1.94
20-Apr-17,52.99,53.09,53.55,52.68,401.85K,0.11
19-Apr-17,52.93,54.78,55.2,52.58,435.41K,-3.57
18-Apr-17,54.89,55.39,55.48,54.61,373.10K,-0.85
17-Apr-17,55.36,55.55,55.98,55.29,158.97K,-0.95
13-Apr-17,55.89,55.66,56.06,55.56,325.31K,0.05
12-Apr-17,55.86,56.28,56.65,55.5,373.53K,-0.66
11-Apr-17,56.23,56.08,56.3,55.45,340.42K,0.45
10-Apr-17,55.98,55.19,56.05,55.19,298.90K,1.34
7-Apr-17,55.24,54.88,56.08,54.57,317.78K,0.64
6-Apr-17,54.89,54.13,55,54.02,239.47K,0.97
5-Apr-17,54.36,54.22,55.09,53.97,353.02K,0.35
4-Apr-17,54.17,53.18,54.38,52.73,302.11K,1.98
3-Apr-17,53.12,53.62,53.74,53.03,241.75K,0.55
31-Mar-17,52.83,52.83,53.45,52.35,27.46K,-0.25
30-Mar-17,52.96,52.39,53.1,52.03,128.55K,1.03
29-Mar-17,52.42,51.43,52.48,51.36,140.44K,2.12
28-Mar-17,51.33,50.77,51.87,50.77,186.41K,1.14
27-Mar-17,50.75,51.03,51.1,50.03,195.52K,-0.1
24-Mar-17,50.8,50.64,51.06,50.4,215.34K,0.47
23-Mar-17,50.56,50.83,51.1,50.25,320.21K,-0.16
22-Mar-17,50.64,50.86,50.98,49.71,327.91K,-0.63
21-Mar-17,50.96,51.7,52.22,50.73,291.71K,-1.28
20-Mar-17,51.62,51.8,51.94,51.01,239.25K,-0.27
17-Mar-17,51.76,51.74,52.18,51.53,220.35K,0.04
16-Mar-17,51.74,52.08,52.65,51.5,281.53K,-0.14
15-Mar-17,51.81,51.5,52.15,51.36,327.90K,1.75
14-Mar-17,50.92,51.34,51.86,50.25,411.63K,-0.84
13-Mar-17,51.35,51.49,51.7,50.85,276.76K,-0.04
10-Mar-17,51.37,52.33,53.02,51.14,351.34K,-1.57
9-Mar-17,52.19,53.49,53.86,51.5,504.12K,-1.73
8-Mar-17,53.11,55.63,55.77,52.93,444.13K,-5.03
7-Mar-17,55.92,55.95,56.65,55.56,269.52K,-0.16
6-Mar-17,56.01,55.8,56.25,55.32,224.20K,0.2
3-Mar-17,55.9,55.18,55.95,55.09,248.71K,1.49
2-Mar-17,55.08,56.31,56.44,55.03,350.12K,-2.27
1-Mar-17,56.36,56.45,57.05,56.24,261.74K,1.39
28-Feb-17,55.59,56.02,56.15,55.23,28.35K,-0.61
27-Feb-17,55.93,55.96,56.77,55.86,139.29K,-0.11
24-Feb-17,55.99,56.4,56.66,55.74,164.96K,-1.04
23-Feb-17,56.58,56.2,57.26,56.18,223.59K,1.33
22-Feb-17,55.84,56.74,57.01,55.64,245.16K,-1.45
21-Feb-17,56.66,56.17,57.31,56.1,335.44K,0.85
20-Feb-17,56.18,55.9,56.42,55.7,209.63K,0.66
17-Feb-17,55.81,55.73,55.88,55.1,270.49K,0.29
16-Feb-17,55.65,55.74,56.24,55.13,310.84K,-0.18
15-Feb-17,55.75,55.82,56.25,55.56,272.52K,-0.39
14-Feb-17,55.97,55.75,56.46,55.53,254.98K,0.68
13-Feb-17,55.59,56.68,56.81,55.41,234.31K,-1.96
10-Feb-17,56.7,55.66,56.88,55.59,284.71K,1.92
9-Feb-17,55.63,55.3,55.92,55.23,263.40K,0.93
8-Feb-17,55.12,54.5,55.68,54.44,409.83K,0.13
7-Feb-17,55.05,55.91,55.98,54.58,317.18K,-1.2
6-Feb-17,55.72,56.85,57.13,55.65,252.70K,-1.92
3-Feb-17,56.81,56.92,57.3,56.39,264.76K,0.44
2-Feb-17,56.56,56.53,57.45,56.33,297.35K,-0.42
